model,period,horizon_min,horizon_label,n_seed,n,MAE_mean,MAE_std,RMSE_mean,RMSE_std,WMAPE_mean,WMAPE_std,MAPE_mean,MAPE_std
A0,all,-1,mean,3,2517410,1.77295939,0.00298894,2.68064936,0.00169633,8.07906246,0.01362014,9.69976044,0.04343866
A0,all,15,15min,3,628205,1.69217583,0.00155882,2.55844140,0.00065925,7.70977116,0.00710219,9.22600810,0.03707289
A0,all,30,30min,3,629026,1.74791066,0.00199466,2.65050022,0.00299242,7.96483024,0.00908923,9.56722927,0.04023304
A0,all,45,45min,3,629756,1.79970078,0.00315106,2.72061125,0.00287443,8.20135657,0.01436004,9.85458851,0.04346088
A0,all,60,60min,3,630423,1.85173897,0.00552199,2.78722644,0.00229836,8.43897343,0.02516576,10.14941565,0.05323697
A0,am_peak,-1,mean,3,353368,1.86500514,0.01225322,2.73802622,0.02049714,8.92018954,0.05860630,10.44062583,0.08250158
A0,am_peak,15,15min,3,88342,1.65822005,0.00528037,2.45925593,0.00787344,7.93115155,0.02525589,9.30307452,0.03599523
A0,am_peak,30,30min,3,88342,1.79323685,0.00984337,2.64864898,0.01658975,8.57692782,0.04708004,10.06003539,0.06405147
A0,am_peak,45,45min,3,88342,1.93189251,0.01435589,2.81710108,0.02511193,9.24010817,0.06866349,10.80061340,0.10031129
A0,am_peak,60,60min,3,88342,2.07667089,0.01961565,2.99793386,0.03023408,9.93257300,0.09382038,11.59878000,0.13252079
A0,inter_peak,-1,mean,3,706724,1.45260056,0.00261445,2.19568698,0.00172497,6.96215947,0.01253082,8.30391693,0.03411854
A0,inter_peak,15,15min,3,176681,1.40067979,0.00206237,2.10988379,0.00403772,6.71330865,0.00988476,7.97360198,0.03207523
A0,inter_peak,30,30min,3,176681,1.43722280,0.00250140,2.17954461,0.00336345,6.88845539,0.01198899,8.21753534,0.03608578
A0,inter_peak,45,45min,3,176681,1.47010068,0.00232468,2.22547317,0.00060384,7.04603593,0.01114206,8.41956615,0.03391354
A0,inter_peak,60,60min,3,176681,1.50239913,0.00396317,2.26481533,0.00247906,7.20083841,0.01899482,8.60496457,0.03644542
A0,pm_peak,-1,mean,3,350696,1.83502086,0.00386591,2.93782369,0.00420200,9.14302508,0.01926217,11.59453646,0.06495052
A0,pm_peak,15,15min,3,87674,1.71072185,0.00354623,2.69401813,0.00699445,8.52370230,0.01766928,10.67150275,0.04676942
A0,pm_peak,30,30min,3,87674,1.81160883,0.00272587,2.89426780,0.00514837,9.02637355,0.01358211,11.41866461,0.06097455
A0,pm_peak,45,45min,3,87674,1.87889087,0.00446423,3.01620340,0.00388801,9.36160723,0.02224276,11.91391563,0.07237090
A0,pm_peak,60,60min,3,87674,1.93886209,0.00569690,3.12908912,0.00310964,9.66041470,0.02838495,12.37406476,0.08327547
A0,off_peak,-1,mean,3,1106622,1.92849080,0.00223512,2.85284519,0.00972631,8.18514729,0.00948665,9.75416438,0.03073121
A0,off_peak,15,15min,3,275508,1.88409579,0.00052484,2.79667838,0.00320773,7.99185069,0.00222605,9.54449781,0.03871567
A0,off_peak,30,30min,3,276329,1.91185927,0.00299409,2.83789762,0.01132945,8.11370500,0.01270635,9.68525251,0.02946797
