model,period,horizon_min,horizon_label,n_seed,n,MAE_mean,MAE_std,RMSE_mean,RMSE_std,WMAPE_mean,WMAPE_std,MAPE_mean,MAPE_std
B1,off_peak,-1,四时距汇总,3,1106622,1.88602928,0.00136092,2.79622380,0.00399202,8.00492668,0.00577655,9.53904343,0.00334592
B1,off_peak,15,15分钟,3,275508,1.85223500,0.00043705,2.75723076,0.00199946,7.85670551,0.00185365,9.36683400,0.00360350
B1,off_peak,30,30分钟,3,276329,1.87368794,0.00112708,2.78639054,0.00558681,7.95171038,0.00478300,9.48689461,0.00229536
B1,off_peak,45,45分钟,3,277059,1.89667845,0.00158324,2.81076900,0.00601251,8.05183983,0.00672105,9.58991623,0.00498721
B1,off_peak,60,60分钟,3,277726,1.92120945,0.00398027,2.82965144,0.00327748,8.15829150,0.01690206,9.71100934,0.01159018
B2,all,-1,四时距汇总,3,2517410,1.73318267,0.00455218,2.63040296,0.00805418,7.89780744,0.02074335,9.46868324,0.01273012
B2,all,15,15分钟,3,628205,1.70042646,0.00651204,2.57684350,0.01041026,7.74736245,0.02966981,9.27470144,0.00892700
B2,all,30,30分钟,3,629026,1.71126088,0.00501299,2.60101589,0.00865856,7.79782565,0.02284304,9.35366503,0.00966332
B2,all,45,45分钟,3,629756,1.73888795,0.00347020,2.64058145,0.00685861,7.92422867,0.01581378,9.50531451,0.01671656
B2,all,60,60分钟,3,630423,1.78199760,0.00325334,2.70124491,0.00674924,8.12113953,0.01482686,9.74015172,0.02003777
B2,am_peak,-1,四时距汇总,3,353368,1.79133161,0.00308042,2.66578221,0.00558680,8.56781451,0.01473344,9.98689683,0.06132887
B2,am_peak,15,15分钟,3,88342,1.71782366,0.02422482,2.55182918,0.02724536,8.21623198,0.11586550,9.50407473,0.05656050
B2,am_peak,30,30分钟,3,88342,1.71018895,0.01140160,2.54482500,0.00628601,8.17971516,0.05453288,9.51829497,0.03564931
B2,am_peak,45,45分钟,3,88342,1.78754143,0.00712199,2.66104190,0.01478382,8.54968707,0.03406456,9.99463781,0.11045291
B2,am_peak,60,60分钟,3,88342,1.94977232,0.01716201,2.89045580,0.02929873,9.32562606,0.08208496,10.93058173,0.16639006
B2,inter_peak,-1,四时距汇总,3,706724,1.43969937,0.00371289,2.17581304,0.00860542,6.90032578,0.01779582,8.19314416,0.01512256
B2,inter_peak,15,15分钟,3,176681,1.41754349,0.00469768,2.13069550,0.01170594,6.79413478,0.02251520,8.03946273,0.01401997
B2,inter_peak,30,30分钟,3,176681,1.43370418,0.00420756,2.17023460,0.01037992,6.87159109,0.02016649,8.15862147,0.01544082
B2,inter_peak,45,45分钟,3,176681,1.44605462,0.00338197,2.19040593,0.00746231,6.93078566,0.01620954,8.24489085,0.01587677
B2,inter_peak,60,60分钟,3,176681,1.46149508,0.00257090,2.21109891,0.00516474,7.00479031,0.01232220,8.32960097,0.01649462
B2,pm_peak,-1,四时距汇总,3,350696,1.81704748,0.01061818,2.91387757,0.02787397,9.05347284,0.05290464,11.50665665,0.06079772
B2,pm_peak,15,15分钟,3,87674,1.74610158,0.00860896,2.77982100,0.02689914,8.69998264,0.04289448,11.11242580,0.08555706
B2,pm_peak,30,30分钟,3,87674,1.79223184,0.01024045,2.87258395,0.02813941,8.92982737,0.05102346,11.36470350,0.06222330
B2,pm_peak,45,45分钟,3,87674,1.83979595,0.01156008,2.95101428,0.02855197,9.16681639,0.05759876,11.62541167,0.05311853
B2,pm_peak,60,60分钟,3,87674,1.89006062,0.01356313,3.04548756,0.02969715,9.41726081,0.06757884,11.92408466,0.04676296
B2,off_peak,-1,四时距汇总,3,1106622,1.87546488,0.00518929,2.78500764,0.00381923,7.96008809,0.02202533,9.47197247,0.01153056
B2,off_peak,15,15分钟,3,275508,1.86172354,0.00362310,2.77160907,0.00291581,7.89695342,0.01536816,9.40851243,0.00511910
B2,off_peak,30,30分钟,3,276329,1.86337900,0.00380106,2.77490576,0.00288662,7.90796041,0.01613098,9.42708429,0.00612350
B2,off_peak,45,45分钟,3,277059,1.87818289,0.00548205,2.78843856,0.00382880,7.97332207,0.02327242,9.48218282,0.01510155
B2,off_peak,60,60分钟,3,277726,1.89841016,0.00785746,2.80480218,0.00626062,8.06147607,0.03336641,9.56940238,0.02307639
B3,all,-1,四时距汇总,3,2517410,1.71853387,0.00205825,2.60597324,0.00874664,7.83105532,0.00937906,9.36158848,0.01734918
B3,all,15,15分钟,3,628205,1.68925989,0.00141187,2.55730255,0.00687461,7.69648600,0.00643253,9.18188953,0.01161304
B3,all,30,30分钟,3,629026,1.69667824,0.00180114,2.57727337,0.00845358,7.73137601,0.00820744,9.24529330,0.01640411
B3,all,45,45分钟,3,629756,1.72224458,0.00277362,2.61352491,0.00960099,7.84838374,0.01263939,9.38899962,0.02062162
B3,all,60,60分钟,3,630423,1.76580532,0.00338796,2.67405279,0.01009436,8.04734643,0.01543976,9.62930775,0.02345372
B3,am_peak,-1,四时距汇总,3,353368,1.78826006,0.01066554,2.65737669,0.02081474,8.55312347,0.05101217,9.91595809,0.06782034
B3,am_peak,15,15分钟,3,88342,1.72600337,0.00529793,2.55800382,0.00657127,8.25535456,0.02533954,9.48540688,0.00459851
B3,am_peak,30,30分钟,3,88342,1.71192563,0.00963212,2.54428617,0.01940596,8.18802166,0.04607004,9.46763293,0.05488985
