model,seed,period,horizon_min,horizon_label,n,MAE,RMSE,WMAPE,MAPE,mape_excluded
CNN-LSTM,0,inter_peak,60,60分钟,176681,1.54753494,2.34441376,7.41717005,8.99763107,4
CNN-LSTM,0,inter_peak,-1,四时距汇总,706724,1.47840345,2.24545050,7.08582973,8.56809807,16
CNN-LSTM,0,pm_peak,15,15分钟,87674,1.72415030,2.71870995,8.59061050,10.73429203,4
CNN-LSTM,0,pm_peak,30,30分钟,87674,1.84972703,2.95174885,9.21629810,11.72510624,4
CNN-LSTM,0,pm_peak,45,45分钟,87674,1.93843508,3.09652209,9.65828705,12.39476299,4
CNN-LSTM,0,pm_peak,60,60分钟,87674,2.00791025,3.21435785,10.00444984,13.01893616,4
CNN-LSTM,0,pm_peak,-1,四时距汇总,350696,1.88005567,3.00103116,9.36741161,11.96827412,16
CNN-LSTM,0,off_peak,15,15分钟,275508,1.92284298,2.84608889,8.15620613,9.75693130,30
CNN-LSTM,0,off_peak,30,30分钟,276329,1.96965098,2.89887285,8.35896683,10.04784298,28
CNN-LSTM,0,off_peak,45,45分钟,277059,2.02368379,2.95565200,8.59100723,10.31404686,25
CNN-LSTM,0,off_peak,60,60分钟,277726,2.08225465,3.01289892,8.84216022,10.61241913,26
CNN-LSTM,0,off_peak,-1,四时距汇总,1106622,1.99978542,2.92922664,8.48774433,10.18375683,109
STGCN,0,all,15,15分钟,628205,1.67929900,2.54271698,7.65110254,9.11068344,39
STGCN,0,all,30,30分钟,629026,1.73636699,2.63158274,7.91222811,9.44508266,37
STGCN,0,all,45,45分钟,629756,1.78638041,2.69964933,8.14065456,9.73367310,34
STGCN,0,all,60,60分钟,630423,1.83779347,2.76474786,8.37541962,9.99738407,35
STGCN,0,all,-1,四时距汇总,2517410,1.76003706,2.66105580,8.02017784,9.57213974,145
STGCN,0,am_peak,15,15分钟,88342,1.63366807,2.42695141,7.81372118,9.13331318,1
STGCN,0,am_peak,30,30分钟,88342,1.76312411,2.59833097,8.43290043,9.81515884,1
STGCN,0,am_peak,45,45分钟,88342,1.89169610,2.75608969,9.04785156,10.48801422,1
STGCN,0,am_peak,60,60分钟,88342,2.01975203,2.92429018,9.66033459,11.18381786,1
STGCN,0,am_peak,-1,四时距汇总,353368,1.82705986,2.68276548,8.73869991,10.15507603,4
STGCN,0,inter_peak,15,15分钟,176681,1.39010990,2.09770131,6.66264820,7.87951040,4
STGCN,0,inter_peak,30,30分钟,176681,1.43056965,2.16967750,6.85656834,8.12471771,4
STGCN,0,inter_peak,45,45分钟,176681,1.46324503,2.21657991,7.01317692,8.33506107,4
STGCN,0,inter_peak,60,60分钟,176681,1.49823022,2.25430465,7.18085766,8.49716187,4
STGCN,0,inter_peak,-1,四时距汇总,706724,1.44553864,2.18534708,6.92831278,8.20911312,16
STGCN,0,pm_peak,15,15分钟,87674,1.70059490,2.68370533,8.47324467,10.54267120,4
STGCN,0,pm_peak,30,30分钟,87674,1.80549467,2.88279772,8.99590969,11.28587437,4
STGCN,0,pm_peak,45,45分钟,87674,1.87370050,3.00058556,9.33574581,11.82358837,4
STGCN,0,pm_peak,60,60分钟,87674,1.93489194,3.11078310,9.64063454,12.24527264,4
STGCN,0,pm_peak,-1,四时距汇总,350696,1.82867038,2.92375112,9.11138344,11.47435188,16
STGCN,0,off_peak,15,15分钟,275508,1.87260842,2.78203154,7.94312429,9.43731022,30
STGCN,0,off_peak,30,30分钟,276329,1.90140283,2.82121968,8.06932926,9.58696747,28
STGCN,0,off_peak,45,45分钟,277059,1.93123102,2.85684395,8.19852352,9.72371292,25
STGCN,0,off_peak,60,60分钟,277726,1.96528184,2.88844562,8.34544182,9.86476326,26
STGCN,0,off_peak,-1,四时距汇总,1106622,1.91773343,2.83753181,8.13948917,9.65366364,109
STGCN,1,all,15,15分钟,628205,1.67928576,2.54264712,7.65104294,9.08927727,39
STGCN,1,all,30,30分钟,629026,1.73331344,2.63236761,7.89831448,9.41060448,37
STGCN,1,all,45,45分钟,629756,1.78271306,2.70137906,8.12394238,9.67774582,34
STGCN,1,all,60,60分钟,630423,1.83155477,2.76474905,8.34698772,9.93685913,35
STGCN,1,all,-1,四时距汇总,2517410,1.75679088,2.66167235,8.00538540,9.52903461,145
STGCN,1,am_peak,15,15分钟,88342,1.62330043,2.41537690,7.76413393,9.03866196,1
STGCN,1,am_peak,30,30分钟,88342,1.74356616,2.57777143,8.33935642,9.65971851,1
STGCN,1,am_peak,45,45分钟,88342,1.86362600,2.72186542,8.91359425,10.27622604,1
STGCN,1,am_peak,60,60分钟,88342,1.99055588,2.88229251,9.52069092,10.94960308,1
STGCN,1,am_peak,-1,四时距汇总,353368,1.80526221,2.65495348,8.63444328,9.98105145,4
STGCN,1,inter_peak,15,15分钟,176681,1.39167035,2.09623051,6.67012787,7.87291670,4
STGCN,1,inter_peak,30,30分钟,176681,1.42854881,2.16440487,6.84688234,8.10521698,4
STGCN,1,inter_peak,45,45分钟,176681,1.46220195,2.21337295,7.00817871,8.30074310,4
STGCN,1,inter_peak,60,60分钟,176681,1.49581945,2.25281286,7.16930342,8.46703529,4
STGCN,1,inter_peak,-1,四时距汇总,706724,1.44456017,2.18248796,6.92362261,8.18647766,16
STGCN,1,pm_peak,15,15分钟,87674,1.70529854,2.68071032,8.49668121,10.48767471,4
STGCN,1,pm_peak,30,30分钟,87674,1.80914235,2.88454771,9.01408386,11.21807289,4
STGCN,1,pm_peak,45,45分钟,87674,1.88015509,3.01111364,9.36790657,11.72498322,4
STGCN,1,pm_peak,60,60分钟,87674,1.94252336,3.13146400,9.67865849,12.17781353,4
STGCN,1,pm_peak,-1,四时距汇总,350696,1.83427989,2.93171000,9.13933372,11.40213585,16
STGCN,1,off_peak,15,15分钟,275508,1.87340474,2.78674221,7.94650221,9.44058037,30
STGCN,1,off_peak,30,30分钟,276329,1.90083921,2.83092165,8.06693745,9.59216022,28
STGCN,1,off_peak,45,45分钟,277059,1.93046856,2.86907673,8.19528675,9.71721077,25
STGCN,1,off_peak,60,60分钟,277726,1.95953119,2.89555287,8.32102203,9.84234142,26
STGCN,1,off_peak,-1,四时距汇总,1106622,1.91615701,2.84599090,8.13279915,9.64851856,109
STGCN,2,all,15,15分钟,628205,1.68012154,2.53940463,7.65485096,9.12878227,39
STGCN,2,all,30,30分钟,629026,1.73671973,2.62994432,7.91383600,9.43618870,37
STGCN,2,all,45,45分钟,629756,1.78698695,2.69721985,8.14341927,9.68962288,34
STGCN,2,all,60,60分钟,630423,1.83570838,2.75921392,8.36591625,9.93728828,35
STGCN,2,all,-1,四时距汇总,2517410,1.75996029,2.65780497,8.01982784,9.54836559,145
STGCN,2,am_peak,15,15分钟,88342,1.63155687,2.41867638,7.80362415,9.14084530,1
STGCN,2,am_peak,30,30分钟,88342,1.75909305,2.58126473,8.41362000,9.77480507,1
STGCN,2,am_peak,45,45分钟,88342,1.87822187,2.72284532,8.98340511,10.37385464,1
STGCN,2,am_peak,60,60分钟,88342,1.98914516,2.86895776,9.51394367,10.98141766,1
STGCN,2,am_peak,-1,四时距汇总,353368,1.81450427,2.65319276,8.67864799,10.06772995,4
STGCN,2,inter_peak,15,15分钟,176681,1.39264715,2.09352756,6.67480898,7.90865517,4
STGCN,2,inter_peak,30,30分钟,176681,1.43209422,2.16366768,6.86387491,8.12899876,4
STGCN,2,inter_peak,45,45分钟,176681,1.46751904,2.21317005,7.03366232,8.30453682,4
STGCN,2,inter_peak,60,60分钟,176681,1.50162017,2.24975681,7.19710493,8.45533848,4
STGCN,2,inter_peak,-1,四时距汇总,706724,1.44847012,2.18081641,6.94236326,8.19938183,16
STGCN,2,pm_peak,15,15分钟,87674,1.69909012,2.66791487,8.46574783,10.54744530,4
STGCN,2,pm_peak,30,30分钟,87674,1.80363297,2.86533833,8.98663425,11.26052475,4
STGCN,2,pm_peak,45,45分钟,87674,1.87755740,2.98152018,9.35496426,11.75573063,4
STGCN,2,pm_peak,60,60分钟,87674,1.94162250,3.09256816,9.67416954,12.20840645,4
STGCN,2,pm_peak,-1,四时距汇总,350696,1.83047581,2.90608716,9.12037945,11.44302750,16
STGCN,2,off_peak,15,15分钟,275508,1.87401259,2.78429294,7.94908047,9.45595551,30
STGCN,2,off_peak,30,30分钟,276329,1.90311003,2.83132696,8.07657433,9.58492947,28
STGCN,2,off_peak,45,45分钟,277059,1.93296099,2.86976552,8.20586872,9.70092773,25
STGCN,2,off_peak,60,60分钟,277726,1.96600318,2.90248036,8.34850502,9.83097935,26
STGCN,2,off_peak,-1,四时距汇总,1106622,1.91912365,2.84743929,8.14539051,9.64361286,109
STSGCN,0,all,15,15分钟,628205,1.71695173,2.57251263,7.82265377,9.39992237,39
STSGCN,0,all,30,30分钟,629026,1.74821389,2.62795305,7.96621227,9.57081318,37
STSGCN,0,all,45,45分钟,629756,1.78038621,2.67008996,8.11333847,9.72730350,34
STSGCN,0,all,60,60分钟,630423,1.81102371,2.71147275,8.25342083,9.86832237,35
STSGCN,0,all,-1,四时距汇总,2517410,1.76419020,2.64607501,8.03910351,9.64181995,145
STSGCN,0,am_peak,15,15分钟,88342,1.66029513,2.44836545,7.94107676,9.41587639,1
STSGCN,0,am_peak,30,30分钟,88342,1.74250972,2.55409431,8.33430386,9.81826210,1
STSGCN,0,am_peak,45,45分钟,88342,1.84235132,2.68075275,8.81183910,10.29877281,1
STSGCN,0,am_peak,60,60分钟,88342,1.95462322,2.82489729,9.34882736,10.88422203,1
STSGCN,0,am_peak,-1,四时距汇总,353368,1.79994488,2.63079691,8.60901165,10.10428333,4
STSGCN,0,inter_peak,15,15分钟,176681,1.43681300,2.13128972,6.88649130,8.18939972,4
STSGCN,0,inter_peak,30,30分钟,176681,1.45990109,2.17965698,6.99715042,8.31724358,4
STSGCN,0,inter_peak,45,45分钟,176681,1.48158789,2.20994306,7.10109234,8.44447517,4
STSGCN,0,inter_peak,60,60分钟,176681,1.49565339,2.22902012,7.16850662,8.49371719,4
STSGCN,0,inter_peak,-1,四时距汇总,706724,1.46848881,2.18778872,7.03831005,8.36120796,16
STSGCN,0,pm_peak,15,15分钟,87674,1.75422442,2.73175740,8.74045467,10.91362476,4
STSGCN,0,pm_peak,30,30分钟,87674,1.81557572,2.88028002,9.04613876,11.36339569,4
STSGCN,0,pm_peak,45,45分钟,87674,1.86468089,2.96176171,9.29080582,11.71850491,4
STSGCN,0,pm_peak,60,60分钟,87674,1.89688075,3.03138804,9.45124245,11.94450569,4
STSGCN,0,pm_peak,-1,四时距汇总,350696,1.83284044,2.90344000,9.13216114,11.48500729,16
STSGCN,0,off_peak,15,15分钟,275508,1.90290797,2.80710626,8.07164764,9.68944073,30
STSGCN,0,off_peak,30,30分钟,276329,1.91300786,2.82232928,8.11857986,9.72449207,28
STSGCN,0,off_peak,45,45分钟,277059,1.92449760,2.83255339,8.16993904,9.73305511,25
STSGCN,0,off_peak,60,60分钟,277726,1.93887186,2.84406328,8.23329353,9.76424026,26
STSGCN,0,off_peak,-1,四时距汇总,1106622,1.91986108,2.82658625,8.14851952,9.72788525,109
STAEformer,0,all,15,15分钟,628205,1.61742818,2.47355628,7.36921215,8.75724602,39
STAEformer,0,all,30,30分钟,629026,1.64088440,2.53640056,7.47713614,8.90176773,37
STAEformer,0,all,45,45分钟,629756,1.65463209,2.56830645,7.54026937,8.99032116,34
STAEformer,0,all,60,60分钟,630423,1.66452289,2.59388375,7.58576918,9.07288456,35
STAEformer,0,all,-1,四时距汇总,2517410,1.64438999,2.54349256,7.49319506,8.93070793,145
STAEformer,0,am_peak,15,15分钟,88342,1.50920784,2.26942873,7.21843672,8.43064308,1
STAEformer,0,am_peak,30,30分钟,88342,1.55426776,2.34974575,7.43395519,8.67311573,1
STAEformer,0,am_peak,45,45分钟,88342,1.58931339,2.40760589,7.60157633,8.87838936,1
STAEformer,0,am_peak,60,60分钟,88342,1.62289739,2.46874237,7.76220560,9.09116840,1
STAEformer,0,am_peak,-1,四时距汇总,353368,1.56892157,2.37501931,7.50404310,8.76832867,4
STAEformer,0,inter_peak,15,15分钟,176681,1.36924350,2.09116268,6.56263828,7.67547989,4
STAEformer,0,inter_peak,30,30分钟,176681,1.39225292,2.15944695,6.67291975,7.78861332,4
STAEformer,0,inter_peak,45,45分钟,176681,1.40715802,2.19868422,6.74435854,7.86153984,4
STAEformer,0,inter_peak,60,60分钟,176681,1.41250455,2.20249128,6.76998329,7.90593719,4
STAEformer,0,inter_peak,-1,四时距汇总,706724,1.39528978,2.16340876,6.68747520,7.80789280,16
STAEformer,0,pm_peak,15,15分钟,87674,1.63943291,2.59747243,8.16850376,10.18038177,4
STAEformer,0,pm_peak,30,30分钟,87674,1.71277046,2.76528001,8.53390980,10.71521759,4
STAEformer,0,pm_peak,45,45分钟,87674,1.75757313,2.84408665,8.75714016,11.00675583,4
STAEformer,0,pm_peak,60,60分钟,87674,1.79012024,2.90619755,8.91930580,11.22414589,4
STAEformer,0,pm_peak,-1,四时距汇总,350696,1.72497404,2.78066778,8.59471512,10.78162575,16
STAEformer,0,off_peak,15,15分钟,275508,1.80428553,2.71078348,7.65331602,9.10285854,30
STAEformer,0,off_peak,30,30分钟,276329,1.80473912,2.73343801,7.65910006,9.11126137,28
STAEformer,0,off_peak,45,45分钟,277059,1.80069900,2.73906040,7.64438534,9.10776806,25
