name,datetime,temp,humidity,precip,windspeed,visibility,icon
Notingham,2025-02-01T00:00:00,3.9,87.31,0,1.5,12.2,cloudy
Notingham,2025-02-01T01:00:00,3.9,87.39,0,2.3,12.2,cloudy
Notingham,2025-02-01T02:00:00,3.7,87.46,0,0.3,8.2,cloudy
Notingham,2025-02-01T03:00:00,3.6,88.57,0,1.7,4.3,cloudy
Notingham,2025-02-01T04:00:00,3.4,91.88,0,2.9,4.3,cloudy
Notingham,2025-02-01T05:00:00,3.5,90.29,0,1.8,3.8,cloudy
Notingham,2025-02-01T06:00:00,3.5,90.86,0,2.8,3.7,cloudy
Notingham,2025-02-01T07:00:00,3.8,91.49,0,4.3,4.9,cloudy
Notingham,2025-02-01T08:00:00,4.1,88.61,0,4.6,7,cloudy
Notingham,2025-02-01T09:00:00,4.6,84.78,0,4.9,10.4,cloudy
Notingham,2025-02-01T10:00:00,4.6,88.69,0,6.3,4.8,cloudy
Notingham,2025-02-01T11:00:00,5.1,85.93,0,5.7,6.1,cloudy
Notingham,2025-02-01T12:00:00,5.1,90.14,0,7.4,4.7,cloudy
Notingham,2025-02-01T13:00:00,5.5,89.99,0,7.9,5,cloudy
Notingham,2025-02-01T14:00:00,5.6,82.75,0,9.7,16.6,cloudy
Notingham,2025-02-01T15:00:00,5.6,78.52,0,8.3,24.8,cloudy
Notingham,2025-02-01T16:00:00,5,81.47,0,6,23.3,cloudy
Notingham,2025-02-01T17:00:00,4.6,80.88,0,7.5,25.1,cloudy
Notingham,2025-02-01T18:00:00,4.6,83.54,0,7.7,18.8,cloudy
Notingham,2025-02-01T19:00:00,4.6,84.09,0,7.7,19.4,cloudy
Notingham,2025-02-01T20:00:00,4.6,86.33,0,6.4,14.8,cloudy
Notingham,2025-02-01T21:00:00,4.6,87.98,0,9.1,9.4,cloudy
Notingham,2025-02-01T22:00:00,4.8,84.14,0,9.5,17.7,cloudy
Notingham,2025-02-01T23:00:00,4.6,85.2,0,9.4,17.3,cloudy
Notingham,2025-02-02T00:00:00,4.5,83.55,0,9.9,27.8,cloudy
Notingham,2025-02-02T01:00:00,4.4,82.13,0,9,26.7,cloudy
Notingham,2025-02-02T02:00:00,3.9,84.44,0,8.9,20.5,cloudy
Notingham,2025-02-02T03:00:00,3.6,84.42,0,9.5,19.8,cloudy
Notingham,2025-02-02T04:00:00,3.1,83.52,0,8.2,24,cloudy
Notingham,2025-02-02T05:00:00,2.8,84.66,0,8.7,20.5,cloudy
Notingham,2025-02-02T06:00:00,2.7,86.38,0,7.7,13.2,cloudy
Notingham,2025-02-02T07:00:00,2.5,87.46,0,7.6,8.8,cloudy
Notingham,2025-02-02T08:00:00,2.7,85.31,0,8.5,13.3,cloudy
Notingham,2025-02-02T09:00:00,3.1,83.71,0,8.5,16.7,cloudy
Notingham,2025-02-02T10:00:00,4.2,80.31,0.004,7.4,17.1,clear-day
Notingham,2025-02-02T11:00:00,5.4,75.43,0,9.8,20.5,clear-day
Notingham,2025-02-02T12:00:00,6.3,72.57,0,10.4,21.2,clear-day
Notingham,2025-02-02T13:00:00,7.6,68.1,0,7.3,25.6,clear-day
Notingham,2025-02-02T14:00:00,7.8,61.03,0,9.5,30.5,clear-day
Notingham,2025-02-02T15:00:00,7.5,62.05,0,7.7,31,clear-day
