name,datetime,temp,humidity,precip,windspeed,visibility,icon
Notingham,2025-01-01T00:00:00,10.4,91.31,0,23.4,5.1,cloudy
Notingham,2025-01-01T01:00:00,10.2,92.49,0.006,23.1,4.4,cloudy
Notingham,2025-01-01T02:00:00,10.3,93.35,0.013,21.8,6.5,cloudy
Notingham,2025-01-01T03:00:00,10.3,92.18,0,20.9,10.4,cloudy
Notingham,2025-01-01T04:00:00,10.2,89.55,0.006,20.7,10.8,cloudy
Notingham,2025-01-01T05:00:00,9.8,93.56,0,19.1,5.4,cloudy
Notingham,2025-01-01T06:00:00,10.2,92.8,0,20.1,6.5,cloudy
Notingham,2025-01-01T07:00:00,10.2,90.79,0.025,21.5,7.5,cloudy
Notingham,2025-01-01T08:00:00,6.6,92.46,0.097,12.3,3.5,cloudy
Notingham,2025-01-01T09:00:00,6.3,91.28,0.131,12.6,5.3,cloudy
Notingham,2025-01-01T10:00:00,6.2,92.33,0.093,12.1,45.2,cloudy
Notingham,2025-01-01T11:00:00,6.4,88.8,0.02,14,45.4,cloudy
Notingham,2025-01-01T12:00:00,6.2,86.89,0.004,13,34,cloudy
Notingham,2025-01-01T13:00:00,6.4,86.72,0,11.1,26,cloudy
Notingham,2025-01-01T14:00:00,6.7,85.1,0,14.5,26.7,cloudy
Notingham,2025-01-01T15:00:00,6.7,86.8,0,11.9,26.6,cloudy
Notingham,2025-01-01T16:00:00,6.1,88.51,0,9.1,38.5,cloudy
Notingham,2025-01-01T17:00:00,5.6,85.4,0,8.8,34.1,cloudy
Notingham,2025-01-01T18:00:00,4.7,87.89,0.006,8.4,17.4,partly-cloudy-night
Notingham,2025-01-01T19:00:00,3,90.97,0.013,5,34.6,cloudy
Notingham,2025-01-01T20:00:00,2.7,93.39,0,4.1,33.7,partly-cloudy-night
Notingham,2025-01-01T21:00:00,2.7,92.85,0,3.3,30.8,cloudy
Notingham,2025-01-01T22:00:00,2.7,92.85,0,3.1,14.2,cloudy
Notingham,2025-01-01T23:00:00,2.1,89.64,0,4.9,28.2,clear-night
Notingham,2025-01-02T00:00:00,1.7,84.85,0,6.6,25.6,clear-night
Notingham,2025-01-02T01:00:00,1.2,83.66,0,8,26,clear-night
Notingham,2025-01-02T02:00:00,0.6,85.26,0,6.1,25.5,clear-night
Notingham,2025-01-02T03:00:00,-0.1,88.15,0,5.1,25.4,clear-night
Notingham,2025-01-02T04:00:00,0,88.29,0,7.1,30.3,clear-night
Notingham,2025-01-02T05:00:00,0.3,85.39,0,8.1,32.8,clear-night
Notingham,2025-01-02T06:00:00,0.1,83.68,0,6.8,34,clear-night
Notingham,2025-01-02T07:00:00,-0.9,85.26,0,3.6,30.1,clear-night
Notingham,2025-01-02T08:00:00,-0.9,86.82,0,4.6,31.9,clear-night
Notingham,2025-01-02T09:00:00,-0.6,83.19,0,5.3,29.6,clear-day
Notingham,2025-01-02T10:00:00,0.2,78.67,0,5.5,28,clear-day
Notingham,2025-01-02T11:00:00,1.3,73.8,0,5.2,33.6,clear-day
Notingham,2025-01-02T12:00:00,2.1,67.41,0.006,6.6,38.8,clear-day
Notingham,2025-01-02T13:00:00,2.6,64.53,0,7.6,45.7,clear-day
Notingham,2025-01-02T14:00:00,2.6,64.36,0,8.2,41.8,clear-day
Notingham,2025-01-02T15:00:00,2.1,67.34,0,7.3,43,clear-day
Notingham,2025-01-02T16:00:00,0.7,74.28,0,7,30.4,clear-day
Notingham,2025-01-02T17:00:00,0.2,76.98,0,6.4,26.3,clear-night
