id,name,description,direction,is_dwell_times_filtering_countline,is_anpr,is_speed,start_lat,start_long,end_lat,end_long,mean_lat,mean_lon
51300,S273_BurtonRd_path_LHS_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.971294,-1.073286,52.971275,-1.073261,52.971284499999996,-1.0732735
51301,S273_BurtonRd_road_not002,,ANTICLOCKWISE_ONLY,False,False,False,52.971294,-1.073198,52.97126,-1.073154,52.971277,-1.0731760000000001
51409,S267_MeltonRd_road_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.9011,-1.117552,52.901199,-1.117548,52.9011495,-1.11755
51410,S267_MeltonRd_pathRHS_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.901218,-1.117534,52.901264,-1.117522,52.901241,-1.117528
51416,Countline 1,,CLOCKWISE_AND_ANTICLOCKWISE,False,True,False,52.90115,-1.117283,52.901188,-1.117283,52.901168999999996,-1.117283
51966,Countline 1,,CLOCKWISE_AND_ANTICLOCKWISE,False,True,False,52.936554,-1.134368,52.936558,-1.13448,52.936555999999996,-1.134424
52033,S49_beechdaleRd_RHS_cycle_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.961422,-1.199698,52.961437,-1.199689,52.961429499999994,-1.1996935
52421,S241_LoughboroughRdA60_road_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,True,52.936581,-1.134326,52.936592,-1.134475,52.9365865,-1.1344005
52422,S241_LoughboroughRdA60_path_LHS_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.936626,-1.134286,52.936642,-1.134299,52.936634,-1.1342925
52466,S257_WoodboroughRd_road_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.983883,-1.122307,52.983841,-1.12226,52.983862,-1.1222835
52467,S257_WoodboroughRd _path_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.983902,-1.122431,52.98386,-1.122351,52.983881,-1.122391
52473,Countline 2,,CLOCKWISE_AND_ANTICLOCKWISE,False,True,False,52.983891,-1.122288,52.98386,-1.12223,52.983875499999996,-1.1222590000000001
52582,S152_AspleyLn_crossing_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.967651,-1.190461,52.967628,-1.190364,52.9676395,-1.1904124999999999
52583,S152_WesternBlvd_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.967533,-1.190642,52.967602,-1.19064,52.9675675,-1.1906409999999998
52584,S158_WesternBlvd_crossing_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.968048,-1.190613,52.967987,-1.190673,52.9680175,-1.1906430000000001
52585,S158_AspleyLn_crossing_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.967934,-1.190898,52.96796,-1.191017,52.967946999999995,-1.1909575000000001
